name,role,win_rate,pick_rate,category
Wukong,TOP,0.5171,0.0098,balanced
Quinn,TOP,0.5178,0.0122,balanced
Elise,JUNGLE,0.5179,0.0385,balanced
Kayle,MID,0.5179,0.0046,balanced
Shen,TOP,0.518,0.0379,balanced
Seraphine,ADC,0.5181,0.009,balanced
Karthus,MID,0.519,0.0034,balanced
Amumu,SUPPORT,0.5194,0.0358,balanced
Soraka,SUPPORT,0.5199,0.0649,balanced
Skarner,JUNGLE,0.52,0.0085,balanced
Singed,TOP,0.5202,0.0192,high win / low pick
Shyvana,JUNGLE,0.5206,0.019,high win / low pick
Mordekaiser,JUNGLE,0.5209,0.0461,balanced
Maokai,SUPPORT,0.5214,0.022,high win / low pick
Cho'Gath,MID,0.5215,0.006,high win / low pick
Fiddlesticks,JUNGLE,0.5215,0.0297,high win / low pick
Samira,ADC,0.522,0.1016,balanced
Diana,JUNGLE,0.5225,0.0734,balanced
Rell,SUPPORT,0.5225,0.0186,high win / low pick
Nasus,TOP,0.5231,0.0495,balanced
Galio,MID,0.5233,0.0185,high win / low pick
Tryndamere,MID,0.5234,0.0071,high win / low pick
Warwick,TOP,0.5237,0.0277,high win / low pick
Olaf,TOP,0.524,0.0233,high win / low pick
Heimerdinger,SUPPORT,0.5241,0.0367,high win / low pick
Tristana,MID,0.5245,0.0085,high win / low pick
Gangplank,MID,0.5249,0.0161,high win / low pick
Nocturne,JUNGLE,0.5249,0.0353,high win / low pick
Karthus,ADC,0.5261,0.0069,high win / low pick
Kassadin,MID,0.5261,0.0669,balanced
Zyra,SUPPORT,0.5262,0.0333,high win / low pick
Sona,SUPPORT,0.5272,0.0378,high win / low pick
Janna,SUPPORT,0.5276,0.0495,balanced
Ziggs,ADC,0.5287,0.0082,high win / low pick
Wukong,JUNGLE,0.5288,0.0353,high win / low pick
Vi,JUNGLE,0.5293,0.0426,balanced
Zac,JUNGLE,0.5295,0.0407,balanced
Pantheon,MID,0.5307,0.0156,high win / low pick
Nami,SUPPORT,0.531,0.1132,balanced
Cassiopeia,TOP,0.5322,0.0028,high win / low pick
Vel'Koz,MID,0.5337,0.0084,high win / low pick
Swain,MID,0.5341,0.0227,high win / low pick
Dr. Mundo,JUNGLE,0.5362,0.0201,high win / low pick
Nasus,MID,0.5363,0.0057,high win / low pick
Heimerdinger,MID,0.5371,0.0102,high win / low pick
Zac,TOP,0.5385,0.0091,high win / low pick
Maokai,JUNGLE,0.5398,0.0172,high win / low pick
Rammus,JUNGLE,0.5418,0.0553,balanced
Nilah,ADC,0.5428,0.0433,balanced
Quinn,MID,0.5428,0.0018,high win / low pick
Dr. Mundo,TOP,0.5435,0.0859,balanced
Zilean,MID,0.5442,0.0053,high win / low pick
Kled,MID,0.5496,0.0024,high win / low pick
Singed,MID,0.5811,0.0043,high win / low pick
