Name,Class,Role,Tier,Score,Trend,win_rate,role_rate,pick_rate,ban_rate,KDA,,correlation for win/pick,correlation for win/ban,correlation for pick/ban
Sejuani,Tank,JUNGLE,A,50.79,-4.94,0.5096,0.7454,0.0346,0.0117,3.23,,,,
Sejuani,Tank,TOP,C,40.08,-2.6,0.4973,0.1811,0.0074,0.0117,2.37,,,,
Senna,Marksman,SUPPORT,A,56.09,-2.94,0.4884,0.91,0.0629,0.0248,2.43,,,,
Seraphine,Mage,SUPPORT,A,52.83,-2.15,0.5016,0.716,0.0472,0.0176,2.35,,,,
Seraphine,Mage,ADC,C,38.32,-6.65,0.5181,0.1825,0.009,0.0176,2.78,,,,
Sett,Fighter,TOP,S,72.68,-2.25,0.5026,0.7877,0.0818,0.0592,1.77,,,,
Shaco,Assassin,JUNGLE,S,68.89,12.68,0.4855,0.7712,0.0665,0.1543,2.69,,,,
Shaco,Assassin,SUPPORT,B,43.1,3.38,0.51,0.1483,0.0129,0.1543,2.28,,,,
Shen,Tank,TOP,S,61.22,-7.37,0.518,0.8093,0.0379,0.008,2.92,,,,
Shen,Tank,SUPPORT,C,33.76,0.45,0.4755,0.1097,0.0051,0.0079,2.53,,,,
Shyvana,Fighter,JUNGLE,C,40.12,-17.14,0.5206,0.8105,0.019,0.0067,2.64,,,,
Shyvana,Fighter,TOP,D,32.09,-4.02,0.4815,0.1184,0.0027,0.007,1.94,,,,
Singed,Tank,MID,S,58.63,5.87,0.5811,0.1733,0.0043,0.0055,2.98,,,,
Singed,Tank,TOP,B,47.66,-1.3,0.5202,0.6645,0.0192,0.0055,2.02,,,,
Sion,Tank,TOP,B,45,-4.11,0.48,0.7709,0.0384,0.0113,1.52,,,,
Sivir,Marksman,ADC,C,36.62,-4.79,0.4945,0.9721,0.0354,0.0092,2.3,,,,
Skarner,Fighter,TOP,C,37.75,2.65,0.5023,0.1581,0.0015,0.0016,2.26,,,,
Skarner,Fighter,JUNGLE,C,34.76,-7.23,0.52,0.7861,0.0085,0.0017,2.84,,,,
Sona,Support,SUPPORT,A,56.87,0.94,0.5272,0.9681,0.0378,0.0029,2.87,,,,
Soraka,Support,SUPPORT,S,64.53,-0.15,0.5199,0.952,0.0649,0.0331,2.69,,,,
Swain,Mage,SUPPORT,A,55.21,0.44,0.5044,0.5514,0.0496,0.0501,2.42,,,,
Swain,Mage,MID,A,53.43,-0.21,0.5341,0.2927,0.0227,0.0501,2.6,,,,
Sylas,Mage,JUNGLE,God,91.1,42.96,0.498,0.4819,0.0917,0.1741,2.52,,,,
Sylas,Mage,MID,S,61.27,-6.41,0.5012,0.4463,0.0848,0.1741,2.11,,,,
Syndra,Mage,MID,A,53.49,-13.5,0.4951,0.8763,0.0611,0.0651,2.18,,,,
Tahm Kench,Support,TOP,B,41.74,1.14,0.4744,0.6039,0.0237,0.0117,2.22,,,,
Tahm Kench,Support,SUPPORT,C,37.08,6.29,0.491,0.2651,0.0089,0.0117,2.29,,,,
Taliyah,Mage,MID,B,44.03,-0.14,0.5016,0.4652,0.0098,0.0034,2.22,,,,
Taliyah,Mage,SUPPORT,D,31.9,-6.55,0.4825,0.1167,0.0024,0.0033,2.02,,,,
Taliyah,Mage,JUNGLE,D,23.85,-11.8,0.485,0.3763,0.0082,0.0034,2.52,,,,
Talon,Assassin,MID,B,47.97,0.11,0.4984,0.7037,0.0343,0.0115,2.15,,,,
